ID,Cost,Energy,Capacity,Safety,Choice,Treated,Option 
1,450000,0.8,400,90,0,1,1
1,400000,0.7,700,70,1,1,2
1,,,,,0,1,3
1,450000,0.7,600,80,0,1,1
1,350000,0.6,500,70,1,1,2
1,,,,,0,1,3
1,450000,0.6,600,70,1,1,1
1,500000,0.7,400,80,0,1,2
1,,,,,0,1,3
1,400000,0.8,600,70,1,1,1
1,450000,0.4,400,90,0,1,2
1,,,,,0,1,3
1,400000,0.6,500,80,1,1,1
1,350000,0.8,400,70,0,1,2
1,,,,,0,1,3
1,500000,0.7,600,70,0,1,1
1,400000,0.5,400,80,1,1,2
1,,,,,0,1,3
1,500000,0.6,600,90,0,1,1
1,400000,0.7,400,80,1,1,2
1,,,,,0,1,3
1,500000,0.5,600,70,1,1,1
1,450000,0.7,500,80,0,1,2
1,,,,,0,1,3
2,450000,0.8,400,90,0,1,1
2,400000,0.7,700,70,0,1,2
2,,,,,1,1,3
2,450000,0.7,600,80,0,1,1
2,350000,0.6,500,70,0,1,2
2,,,,,1,1,3
2,450000,0.6,600,70,1,1,1
2,500000,0.7,400,80,0,1,2
2,,,,,0,1,3
2,400000,0.8,600,70,0,1,1
2,450000,0.4,400,90,1,1,2
2,,,,,0,1,3
2,400000,0.6,500,80,1,1,1
2,350000,0.8,400,70,0,1,2
2,,,,,0,1,3
2,500000,0.7,600,70,0,1,1
2,400000,0.5,400,80,0,1,2
2,,,,,1,1,3
2,500000,0.6,600,90,1,1,1
2,400000,0.7,400,80,0,1,2
2,,,,,0,1,3
2,500000,0.5,600,70,1,1,1
2,450000,0.7,500,80,0,1,2
2,,,,,0,1,3
3,450000,0.8,400,90,0,1,1
3,400000,0.7,700,70,1,1,2
3,,,,,0,1,3
3,450000,0.7,600,80,1,1,1
3,350000,0.6,500,70,0,1,2
3,,,,,0,1,3
3,450000,0.6,600,70,1,1,1
3,500000,0.7,400,80,0,1,2
3,,,,,0,1,3
3,400000,0.8,600,70,0,1,1
3,450000,0.4,400,90,1,1,2
3,,,,,0,1,3
3,400000,0.6,500,80,1,1,1
3,350000,0.8,400,70,0,1,2
3,,,,,0,1,3
3,500000,0.7,600,70,0,1,1
3,400000,0.5,400,80,1,1,2
3,,,,,0,1,3
3,500000,0.6,600,90,1,1,1
3,400000,0.7,400,80,0,1,2
3,,,,,0,1,3
3,500000,0.5,600,70,1,1,1
3,450000,0.7,500,80,0,1,2
3,,,,,0,1,3
4,450000,0.8,400,90,0,1,1
4,400000,0.7,700,70,1,1,2
4,,,,,0,1,3
4,450000,0.7,600,80,0,1,1
4,350000,0.6,500,70,1,1,2
4,,,,,0,1,3
4,450000,0.6,600,70,1,1,1
4,500000,0.7,400,80,0,1,2
4,,,,,0,1,3
4,400000,0.8,600,70,0,1,1
4,450000,0.4,400,90,1,1,2
4,,,,,0,1,3
4,400000,0.6,500,80,1,1,1
4,350000,0.8,400,70,0,1,2
4,,,,,0,1,3
4,500000,0.7,600,70,0,1,1
4,400000,0.5,400,80,1,1,2
4,,,,,0,1,3
4,500000,0.6,600,90,1,1,1
4,400000,0.7,400,80,0,1,2
4,,,,,0,1,3
4,500000,0.5,600,70,1,1,1
4,450000,0.7,500,80,0,1,2
4,,,,,0,1,3
5,450000,0.8,400,90,0,1,1
5,400000,0.7,700,70,1,1,2
5,,,,,0,1,3
5,450000,0.7,600,80,0,1,1
5,350000,0.6,500,70,1,1,2
5,,,,,0,1,3
5,450000,0.6,600,70,1,1,1
5,500000,0.7,400,80,0,1,2
5,,,,,0,1,3
5,400000,0.8,600,70,0,1,1
5,450000,0.4,400,90,1,1,2
5,,,,,0,1,3
5,400000,0.6,500,80,1,1,1
5,350000,0.8,400,70,0,1,2
5,,,,,0,1,3
5,500000,0.7,600,70,0,1,1
5,400000,0.5,400,80,1,1,2
5,,,,,0,1,3
