RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a1_x4,a2_x1,a2_x2,a2_x3,a2_x4,a3_x1,a3_x2,a3_x3,a3_x4
89937,2,6,6,2,2,2,2,1,3,3,3,2,1,1,1,1
89937,14,9,9,3,3,1,1,5,1,2,2,6,1,1,1,1
89937,15,4,4,3,1,2,2,5,2,3,3,6,1,1,1,1
89937,8,2,2,1,1,3,2,3,2,1,3,4,1,1,1,1
89937,5,7,7,1,2,3,1,2,3,1,2,3,1,1,1,1
89937,18,8,8,2,2,2,1,6,3,3,2,1,1,1,1,1
89937,1,5,5,2,1,1,1,1,2,2,2,2,1,1,1,1
89937,3,3,3,1,3,3,3,1,1,1,1,2,1,1,1,1
89937,13,1,1,3,2,3,3,5,3,1,1,6,1,1,1,1
89956,11,3,3,3,3,2,3,4,1,3,1,5,1,1,1,1
89956,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
89956,15,8,8,3,1,2,2,5,2,3,3,6,1,1,1,1
89956,14,5,5,3,3,1,1,5,1,2,2,6,1,1,1,1
89956,5,7,7,1,2,3,1,2,3,1,2,3,1,1,1,1
89956,12,2,2,3,1,3,1,4,2,1,2,5,1,1,1,1
89956,17,9,9,2,1,1,3,6,2,2,1,1,1,1,1,1
89956,7,4,4,3,3,2,1,3,1,3,2,4,1,1,1,1
89956,2,6,6,1,2,2,2,1,3,3,3,2,1,1,1,1
89973,9,1,1,3,2,1,3,3,3,2,1,4,1,1,1,1
89973,3,3,3,1,3,3,3,1,1,1,1,2,1,1,1,1
89973,8,8,8,3,1,3,2,3,2,1,3,4,1,1,1,1
89973,18,2,2,2,2,2,1,6,3,3,2,1,1,1,1,1
89973,4,7,7,3,1,2,3,2,2,3,1,3,1,1,1,1
89973,6,5,5,1,3,1,2,2,1,2,3,3,1,1,1,1
89973,7,9,9,3,3,2,1,3,1,3,2,4,1,1,1,1
89973,16,4,4,2,3,3,2,6,1,1,3,1,1,1,1,1
89973,13,6,6,3,2,3,3,5,3,1,1,6,1,1,1,1
89963,10,1,1,,2,1,2,4,3,2,3,5,1,1,1,1
89975,1,1,1,,1,1,1,1,2,2,2,2,1,1,1,1
90014,4,9,9,2,1,2,3,2,2,3,1,3,1,1,1,1
90014,14,4,4,1,3,1,1,5,1,2,2,6,1,1,1,1
