id,tag,csn,Choicesituation,Scenario,Block,CS,Choice_,ASCsq,straealt,distanzalt,haufigkeitalt,parkenalt,freizeitalt,bvgalt,Abgeschlossen,LetzteSeite,Datumgestartet,DatumletzteAktivitt,WiealtsindSieinJahren,WielangelebenSiebereitsinB,WasistIhrePostleitzahl,Beruf_Sonst,WasstudierenSie,WasstudierenSieSonstiges,WieweitistdienchsteHaltest,WennjawievielwrdenSieeinm,Geschlecht,Beruf,Transportm,WiehufignutzenSieffentlich,WiekommenSiezurArbeitStud,WievielGeldstehtIhnenmonatli,SindSiegrundstzlichbereitf,WrenSiebereitsichfrdasP,WelcheParteihabenSiebeider,LebenminderjhrigeKinderinIh,WohnenSieinnerhalboderauerh,BesitzenSieeinFahrrad,BesitzenSieeinAuto,_merge
3,1,1,5,1,4,Konzept A,1,0,Es gibt überall Fahrradwege neben der Fahrbahn,3 Minuten,wie heute,wie heute,wie heute,wie heute,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,männlich,Student_in,ÖPNV,täglich,Fahrrad,800 - 1500 ,Ja,Ja,Grüne,Nein,innerhalb,Ja,Nein,matched (3)
3,0,1,5,2,4,Konzept A,0,0,wie heute,6 Minuten,wie heute,bewachter Parkplatz vorhanden,wie heute,wie heute,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,männlich,Student_in,ÖPNV,täglich,Fahrrad,800 - 1500 ,Ja,Ja,Grüne,Nein,innerhalb,Ja,Nein,matched (3)
3,0,1,5,3,4,Konzept A,0,1,wie heute,wie heute,wie heute,wie heute,wie heute,25% teurer,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,männlich,Student_in,ÖPNV,täglich,Fahrrad,800 - 1500 ,Ja,Ja,Grüne,Nein,innerhalb,Ja,Nein,using only (2)
3,0,2,10,1,4,Konzept B,0,0,wie heute,wie heute,wie heute,wie heute,40% mehr Freizeitflächen,50% günstiger,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,männlich,Student_in,ÖPNV,täglich,Fahrrad,800 - 1500 ,Ja,Ja,Grüne,Nein,innerhalb,Ja,Nein,matched (3)
3,0,2,10,2,4,Konzept B,1,0,Es gibt überall Fahrradwege neben der Fahrbahn,6 Minuten,häufiger,bewachter Parkplatz vorhanden,20% mehr Freizeitflächen,kostenfrei,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,männlich,Student_in,ÖPNV,täglich,Fahrrad,800 - 1500 ,Ja,Ja,Grüne,Nein,innerhalb,Ja,Nein,matched (3)
3,0,2,10,3,4,Konzept B,0,1,wie heute,wie heute,wie heute,wie heute,wie heute,25% teurer,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,männlich,Student_in,ÖPNV,täglich,Fahrrad,800 - 1500 ,Ja,Ja,Grüne,Nein,innerhalb,Ja,Nein,using only (2)
3,0,3,11,1,4,Konzept A,1,0,Separates autofreies Straßennetz für Fahrradfahrer,wie heute,häufiger,bewachter Parkplatz vorhanden,wie heute,wie heute,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,männlich,Student_in,ÖPNV,täglich,Fahrrad,800 - 1500 ,Ja,Ja,Grüne,Nein,innerhalb,Ja,Nein,matched (3)
3,0,3,11,2,4,Konzept A,0,0,Es gibt überall Fahrradwege neben der Fahrbahn,3 Minuten,häufiger,bewachter Parkplatz vorhanden,wie heute,50% günstiger,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,männlich,Student_in,ÖPNV,täglich,Fahrrad,800 - 1500 ,Ja,Ja,Grüne,Nein,innerhalb,Ja,Nein,matched (3)
3,0,3,11,3,4,Konzept A,0,1,wie heute,wie heute,wie heute,wie heute,wie heute,25% teurer,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,männlich,Student_in,ÖPNV,täglich,Fahrrad,800 - 1500 ,Ja,Ja,Grüne,Nein,innerhalb,Ja,Nein,using only (2)
3,0,4,17,1,4,Konzept A,1,0,wie heute,6 Minuten,häufiger,bewachter Parkplatz vorhanden,40% mehr Freizeitflächen,25% günstiger,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,männlich,Student_in,ÖPNV,täglich,Fahrrad,800 - 1500 ,Ja,Ja,Grüne,Nein,innerhalb,Ja,Nein,matched (3)
