ID,KEY,Q,A,CE,USD,GAS,nuc,ren,ND1,ND2,RD1,GD1,MDL,MDH,state,GN,GR,GND1,GND2,GRD2
3182,47007,1,1,1,110,20,0,20,0,0,0,20,110,0,4,0,400,0,0,0
3182,47007,1,2,0,120,60,30,0,0,0,0,60,120,0,4,1800,0,0,0,0
3182,47007,2,1,0,90,0,0,0,0,0,0,0,90,0,4,0,0,0,0,0
3182,47007,2,2,1,90,60,20,20,0,0,0,60,90,0,4,1200,1200,0,0,0
3182,47007,3,1,1,100,0,20,30,0,0,0,0,100,0,4,0,0,0,0,0
3182,47007,3,2,0,120,0,10,20,0,0,0,0,120,0,4,0,0,0,0,0
3182,47007,4,1,1,110,60,10,30,0,0,0,60,110,0,4,600,1800,0,0,0
3182,47007,4,2,0,90,40,10,10,0,0,0,40,90,0,4,400,400,0,0,0
3182,47007,5,1,0,120,40,0,30,0,0,0,40,120,0,4,0,1200,0,0,0
3182,47007,5,2,1,100,40,30,20,0,0,0,40,100,0,4,1200,800,0,0,0
3182,47007,6,1,0,110,0,30,10,0,0,0,0,110,0,4,0,0,0,0,0
3182,47007,6,2,1,100,20,10,0,0,0,0,20,100,0,4,200,0,0,0,0
3182,47007,7,1,1,110,40,20,0,0,0,0,40,110,0,4,800,0,0,0,0
3182,47007,7,2,0,90,20,30,30,0,0,0,20,90,0,4,600,600,0,0,0
3182,47007,8,1,1,100,60,0,10,0,0,0,60,100,0,4,0,600,0,0,0
3182,47007,8,2,0,120,20,20,10,0,0,0,20,120,0,4,400,200,0,0,0
3183,47075,1,1,1,110,20,0,20,0,0,0,20,110,0,4,0,400,0,0,0
3183,47075,1,2,0,120,60,30,0,0,0,0,60,120,0,4,1800,0,0,0,0
3183,47075,2,1,0,90,0,0,0,0,0,0,0,90,0,4,0,0,0,0,0
3183,47075,2,2,1,90,60,20,20,0,0,0,60,90,0,4,1200,1200,0,0,0
3183,47075,3,1,1,100,0,20,30,0,0,0,0,100,0,4,0,0,0,0,0
3183,47075,3,2,0,120,0,10,20,0,0,0,0,120,0,4,0,0,0,0,0
3183,47075,4,1,0,110,60,10,30,0,0,0,60,110,0,4,600,1800,0,0,0
3183,47075,4,2,1,90,40,10,10,0,0,0,40,90,0,4,400,400,0,0,0
3183,47075,5,1,0,120,40,0,30,0,0,0,40,120,0,4,0,1200,0,0,0
3183,47075,5,2,1,100,40,30,20,0,0,0,40,100,0,4,1200,800,0,0,0
3183,47075,6,1,1,110,0,30,10,0,0,0,0,110,0,4,0,0,0,0,0
3183,47075,6,2,0,100,20,10,0,0,0,0,20,100,0,4,200,0,0,0,0
3183,47075,7,1,0,110,40,20,0,0,0,0,40,110,0,4,800,0,0,0,0
3183,47075,7,2,1,90,20,30,30,0,0,0,20,90,0,4,600,600,0,0,0
3183,47075,8,1,1,100,60,0,10,0,0,0,60,100,0,4,0,600,0,0,0
3183,47075,8,2,0,120,20,20,10,0,0,0,20,120,0,4,400,200,0,0,0
3184,48021,1,1,0,110,20,0,20,0,0,0,20,0,0,4,0,400,0,0,0
3184,48021,1,2,1,120,60,30,0,0,0,0,60,0,0,4,1800,0,0,0,0
3184,48021,2,1,1,90,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
3184,48021,2,2,0,90,60,20,20,0,0,0,60,0,0,4,1200,1200,0,0,0
3184,48021,3,1,1,100,0,20,30,0,0,0,0,0,0,4,0,0,0,0,0
3184,48021,3,2,0,120,0,10,20,0,0,0,0,0,0,4,0,0,0,0,0
3184,48021,4,1,0,110,60,10,30,0,0,0,60,0,0,4,600,1800,0,0,0
3184,48021,4,2,1,90,40,10,10,0,0,0,40,0,0,4,400,400,0,0,0
3184,48021,5,1,1,120,40,0,30,0,0,0,40,0,0,4,0,1200,0,0,0
3184,48021,5,2,0,100,40,30,20,0,0,0,40,0,0,4,1200,800,0,0,0
3184,48021,6,1,0,110,0,30,10,0,0,0,0,0,0,4,0,0,0,0,0
3184,48021,6,2,1,100,20,10,0,0,0,0,20,0,0,4,200,0,0,0,0
3184,48021,7,1,0,110,40,20,0,0,0,0,40,0,0,4,800,0,0,0,0
3184,48021,7,2,1,90,20,30,30,0,0,0,20,0,0,4,600,600,0,0,0
3184,48021,8,1,1,100,60,0,10,0,0,0,60,0,0,4,0,600,0,0,0
3184,48021,8,2,0,120,20,20,10,0,0,0,20,0,0,4,400,200,0,0,0
3185,58401,1,1,1,110,20,0,20,0,0,0,20,0,110,4,0,400,0,0,0
3185,58401,1,2,0,120,60,30,0,0,0,0,60,0,120,4,1800,0,0,0,0
3185,58401,2,1,0,90,0,0,0,0,0,0,0,0,90,4,0,0,0,0,0
3185,58401,2,2,1,90,60,20,20,0,0,0,60,0,90,4,1200,1200,0,0,0
3185,58401,3,1,1,100,0,20,30,0,0,0,0,0,100,4,0,0,0,0,0
3185,58401,3,2,0,120,0,10,20,0,0,0,0,0,120,4,0,0,0,0,0
3185,58401,4,1,1,110,60,10,30,0,0,0,60,0,110,4,600,1800,0,0,0
3185,58401,4,2,0,90,40,10,10,0,0,0,40,0,90,4,400,400,0,0,0
3185,58401,5,1,1,120,40,0,30,0,0,0,40,0,120,4,0,1200,0,0,0
3185,58401,5,2,0,100,40,30,20,0,0,0,40,0,100,4,1200,800,0,0,0
3185,58401,6,1,0,110,0,30,10,0,0,0,0,0,110,4,0,0,0,0,0
3185,58401,6,2,1,100,20,10,0,0,0,0,20,0,100,4,200,0,0,0,0
3185,58401,7,1,1,110,40,20,0,0,0,0,40,0,110,4,800,0,0,0,0
3185,58401,7,2,0,90,20,30,30,0,0,0,20,0,90,4,600,600,0,0,0
3185,58401,8,1,1,100,60,0,10,0,0,0,60,0,100,4,0,600,0,0,0
3185,58401,8,2,0,120,20,20,10,0,0,0,20,0,120,4,400,200,0,0,0
3186,155405,1,1,1,110,20,0,20,0,0,0,20,0,110,4,0,400,0,0,0
3186,155405,1,2,0,120,60,30,0,0,0,0,60,0,120,4,1800,0,0,0,0
3186,155405,2,1,0,90,0,0,0,0,0,0,0,0,90,4,0,0,0,0,0
3186,155405,2,2,1,90,60,20,20,0,0,0,60,0,90,4,1200,1200,0,0,0
