ID,KEY,Q,A,CE,USD,GAS,nuc,ren,ND1,ND2,RD1,GD1,MDL,MDH,state,GN,GR,GND1,GND2,GRD2
1023,321424,1,1,0,110,20,0,20,0,0,0,20,0,0,2,0,400,0,0,0
1023,321424,1,2,1,120,60,30,0,0,0,0,60,0,0,2,1800,0,0,0,0
1023,321424,2,1,0,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1023,321424,2,2,1,90,60,20,20,0,0,0,60,0,0,2,1200,1200,0,0,0
1023,321424,3,1,1,100,0,20,30,0,0,0,0,0,0,2,0,0,0,0,0
1023,321424,3,2,0,120,0,10,20,0,0,0,0,0,0,2,0,0,0,0,0
1023,321424,4,1,1,110,60,10,30,0,0,0,60,0,0,2,600,1800,0,0,0
1023,321424,4,2,0,90,40,10,10,0,0,0,40,0,0,2,400,400,0,0,0
1023,321424,5,1,0,120,40,0,30,0,0,0,40,0,0,2,0,1200,0,0,0
1023,321424,5,2,1,100,40,30,20,0,0,0,40,0,0,2,1200,800,0,0,0
1023,321424,6,1,1,110,0,30,10,0,0,0,0,0,0,2,0,0,0,0,0
1023,321424,6,2,0,100,20,10,0,0,0,0,20,0,0,2,200,0,0,0,0
1023,321424,7,1,0,110,40,20,0,0,0,0,40,0,0,2,800,0,0,0,0
1023,321424,7,2,1,90,20,30,30,0,0,0,20,0,0,2,600,600,0,0,0
1023,321424,8,1,0,100,60,0,10,0,0,0,60,0,0,2,0,600,0,0,0
1023,321424,8,2,1,120,20,20,10,0,0,0,20,0,0,2,400,200,0,0,0
1024,321760,1,1,0,110,20,0,20,0,0,0,0,110,0,2,0,400,0,0,0
1024,321760,1,2,1,120,60,30,0,0,0,0,0,120,0,2,1800,0,0,0,0
1024,321760,2,1,0,90,0,0,0,0,0,0,0,90,0,2,0,0,0,0,0
1024,321760,2,2,1,90,60,20,20,0,0,0,0,90,0,2,1200,1200,0,0,0
1024,321760,3,1,0,100,0,20,30,0,0,0,0,100,0,2,0,0,0,0,0
1024,321760,3,2,1,120,0,10,20,0,0,0,0,120,0,2,0,0,0,0,0
1024,321760,4,1,0,110,60,10,30,0,0,0,0,110,0,2,600,1800,0,0,0
1024,321760,4,2,1,90,40,10,10,0,0,0,0,90,0,2,400,400,0,0,0
1024,321760,5,1,0,120,40,0,30,0,0,0,0,120,0,2,0,1200,0,0,0
1024,321760,5,2,1,100,40,30,20,0,0,0,0,100,0,2,1200,800,0,0,0
